,language,countries,endangerment,speakers,latitude,longitude
197,Arbëresh,Italy,Definitely endangered,80000,40.9321,14.8645
198,Lari,Iran (Islamic Republic of),Definitely endangered,80000,27.8585,54.8547
199,Páez,Colombia,Definitely endangered,80000,2.8237,-76.3117
200,Quechua of Santiago del Estero,Argentina,Definitely endangered,80000,-26.7848,-63.6767
201,Svan,Georgia,Definitely endangered,80000,43.0207,42.3193
202,Tai Daeng,"Lao People's Democratic Republic, Viet Nam",Vulnerable,80000,19.8833,104.6166
203,Taznatit,Algeria,Severely endangered,80000,29.3413,0.3955
204,Razihi,Yemen,Definitely endangered,75000,16.8834,43.2655
205,Wakhi,"China, Pakistan, Tajikistan, Afghanistan",Definitely endangered,75000,37.1603,74.9047
206,Bishnupriya Manipuri Creole,"Bangladesh, India",Vulnerable,72899,24.297,92.4499
207,Acheron,Sudan,Severely endangered,70000,10.809,30.2453
208,Maori,New Zealand,Vulnerable,70000,-38.4105,177.3632
209,Tai Neua,Lao People's Democratic Republic,Vulnerable,70000,20.5166,104.3166
210,Bhadravahi,"India, Pakistan",Definitely endangered,66918,33.5413,76.333
211,Kinnauri,India,Definitely endangered,65097,31.541,78.3764
212,Gallo-Sicilian,Italy,Definitely endangered,65000,38.0167,14.5994
213,Kurux (Bangladesh),Bangladesh,Vulnerable,65000,25.8196,88.9672
214,Tz'utujil,Guatemala,Definitely endangered,63237,14.6394,-91.2301
215,Chamorro,Guam (U.S.A.),Vulnerable,62500,13.4323,144.7338
216,Ashaninka (Peru),Peru,Vulnerable,62468,-10.6929,-74.3444
217,Chang,India,Vulnerable,62000,26.2934,94.9493
218,Kuna (Panama),Panama,Vulnerable,61703,9.5983,-79.6334
219,Churahi,India,Definitely endangered,61199,33.1835,76.5747
220,Nruanghmei,India,Vulnerable,61000,24.9661,93.5375
221,Rengma,India,Vulnerable,61000,25.958,94.2462
222,Faroese,Faroe Islands,Vulnerable,60000,62.0112,-6.7785
223,Northern Tujia,China,Severely endangered,60000,28.828,109.5904
224,Torwali,Pakistan,Definitely endangered,60000,35.5833,72.5
225,Chuj (Guatemala),Guatemala,Vulnerable,59048,15.8259,-91.4783
226,Kachari,India,Definitely endangered,59000,25.2844,93.2189
227,Scottish Gaelic,United Kingdom of Great Britain and Northern Ireland,Definitely endangered,58552,58.1011,-6.7675
228,Sierra de Puebla Náhuatl,Mexico,Definitely endangered,57189,19.6223,-97.8149
229,Limonese Creole,Costa Rica,Definitely endangered,55000,9.9916,-83.0316
230,Kashubian,Poland,Severely endangered,53000,54.2267,18.1713
231,Khakas,Russian Federation,Definitely endangered,52217,53.7746,90.3735
232,Parji,India,Critically endangered,51216,18.5629,82.8039
233,Arvanitika,Greece,Severely endangered,50000,38.1863,23.6096
234,Buryat (Cis-Baikal),Russian Federation,Severely endangered,50000,52.7961,104.8809
235,Buryat (Manchuria),"China, Mongolia",Definitely endangered,50000,49.8096,119.7509
236,Cuona Menba,"Bhutan, China, India",Vulnerable,50000,26.8279,95.3623
237,Eastern Cham,Viet Nam,Definitely endangered,50000,10.7833,108.0833
238,Hmar,India,Vulnerable,50000,24.577,93.3178
239,Huzhu Monguor,China,Severely endangered,50000,36.7608,102.4255
240,Paite,India,Vulnerable,50000,24.1968,93.3563
241,Quichua (Imbabura),Ecuador,Definitely endangered,50000,0.1757,-78.2006
242,Soqotri,Yemen,Severely endangered,50000,12.5331,53.767
243,Southern Altay,Russian Federation,Definitely endangered,50000,51.069,86.5942
244,Transylvanian Saxon,Romania,Severely endangered,50000,46.214,24.2413
245,Turoyo,"Syrian Arab Republic, Turkey",Severely endangered,50000,37.405,41.3745
246,Võro-Seto,"Estonia, Russian Federation",Definitely endangered,50000,57.8096,27.29
247,West Greenlandic,Greenland (Kingdom of Denmark),Vulnerable,50000,64.1681,-51.7236
248,Western Armenian (Turkey),Turkey,Definitely endangered,50000,41.0213,28.9324
249,Zaramo,United Republic of Tanzania,Definitely endangered,50000,-6.922,39.2409
250,Zenatiya,Algeria,Critically endangered,50000,35.5702,1.8099
251,Papantla Totonac,Mexico,Definitely endangered,49748,20.4477,-97.32
252,Wancho,India,Vulnerable,49000,26.9759,95.4656
253,Bhumji,India,Vulnerable,47000,21.8003,86.8139
254,Cosung (China),China,Definitely endangered,47000,22.6833,102.6666
255,Cosung (Viet Nam),Viet Nam,Definitely endangered,47000,22.6166,102.75
256,Baheng (China),China,Vulnerable,45000,26.19,110.24
257,Lumun,Sudan,Definitely endangered,45000,10.8387,30.0338
258,Quichua (Loja),Ecuador,Severely endangered,45000,-3.6236,-79.2388
259,Chamling,Nepal,Definitely endangered,44093,27.0499,86.7329
260,Irish,"Ireland, United Kingdom of Great Britain and Northern Ireland",Definitely endangered,44000,53.7876,-9.1845
261,Reshe,Nigeria,Vulnerable,44000,10.8791,4.6115
262,Sierra Otomí,Mexico,Vulnerable,43468,20.1021,-97.622
263,Phuthi,Lesotho,Definitely endangered,43000,-29.3791,28.2838
264,Rarotongan,Cook Islands,Vulnerable,43000,-21.2343,-159.7837
265,Khalaj,Iran (Islamic Republic of),Vulnerable,42100,34.3751,50.3063
266,Dungan,"Kazakhstan, Kyrgyzstan",Definitely endangered,41000,42.4518,78.4643
267,Kheza,India,Vulnerable,41000,25.6811,94.367
268,Jola-Kassa,Senegal,Vulnerable,40850,13.1089,-15.8999
269,Satār,Nepal,Vulnerable,40260,26.5541,87.918
270,Guaraní Boliviano,"Argentina, Bolivia (Plurinational State of)",Vulnerable,40000,-20.1694,-63.8525
271,Gutob,India,Vulnerable,40000,18.7086,83.5839
272,Kheng,Bhutan,Vulnerable,40000,27.0786,91.0272
273,Laro,Sudan,Definitely endangered,40000,10.7685,29.902
274,Minyong,India,Vulnerable,40000,28.2632,95.0537
275,Mru,Myanmar,Severely endangered,40000,21.7748,92.2741
276,Patani Malay,Thailand,Vulnerable,40000,6.6482,100.0387
277,"Quechua of Cajatambo, Pasco and northern Junín",Peru,Severely endangered,40000,-10.6147,-76.506
278,Quichua (Napo),Ecuador,Definitely endangered,40000,-0.6371,-77.1459
279,Tangsa,India,Vulnerable,40000,27.4059,96.427
280,Tetserret,Niger,Severely endangered,40000,15.4907,6.2072
281,Awajun,Peru,Vulnerable,39000,-4.3464,-77.8271
282,Khiamngan,India,Vulnerable,38000,26.0518,95.1031
283,Ngile,Sudan,Severely endangered,38000,10.7901,29.8635
284,Phunoi,Lao People's Democratic Republic,Vulnerable,37311,21.6833,102.1
